SMILES
COc1cccc(S(=O)(=O)Nc2ccc3c(c2)C2CC(CC(=O)NCc4ccccc4F)OC(CO)C2O3)c1
CCCC(=O)Nc1ccc2c(c1)C(=O)N(C)CC(OC)C(C)CN(C(=O)c1ccc(F)cc1)C(C)CO2
CC1CN(C(C)CO)C(=O)c2cc(NS(=O)(=O)c3cn(C)cn3)ccc2OC1CN(C)Cc1ccc(C(F)(F)F)cc1
CCCNC(=O)N1CC(C)C(OC)CN(C)C(=O)c2cc(NC(=O)C3CCOCC3)ccc2OCC1C
CC1CN(C(C)CO)C(=O)c2cc(NC(=O)c3ccncc3)ccc2OC1CN(C)Cc1ccncc1
